id,label_index,prediction
R129,1.0,1.0
R227,1.0,1.0
F231,0.0,0.0
R066,1.0,1.0
F095,0.0,0.0
R174,1.0,1.0
R201,1.0,1.0
R072,1.0,1.0
R064,1.0,1.0
F037,0.0,0.0
R170,1.0,1.0
F110,0.0,0.0
F048,0.0,0.0
F082,0.0,0.0
F187,0.0,0.0
F027,0.0,0.0
F202,0.0,0.0
F197,0.0,0.0
R128,1.0,1.0
F157,0.0,0.0
F117,0.0,0.0
F173,0.0,0.0
F024,0.0,0.0
F096,0.0,0.0
R247,1.0,1.0
F226,0.0,0.0
F100,0.0,0.0
F246,0.0,0.0
F183,0.0,0.0
R063,1.0,1.0
R005,1.0,1.0
R084,1.0,1.0
R124,1.0,1.0
R118,1.0,1.0
F001,0.0,0.0
F007,0.0,0.0
F046,0.0,0.0
R103,1.0,1.0
R037,1.0,1.0
F193,0.0,0.0
R166,1.0,1.0
F017,0.0,0.0
R008,1.0,1.0
F071,0.0,0.0
F028,0.0,0.0
F227,0.0,0.0
R200,1.0,1.0
R225,1.0,1.0
R062,1.0,1.0
F033,0.0,0.0
F012,0.0,0.0
R121,1.0,1.0
F210,0.0,0.0
F151,0.0,0.0
F099,0.0,0.0
R090,1.0,1.0
R125,1.0,1.0
R091,1.0,1.0
R157,1.0,1.0
F098,0.0,0.0
F164,0.0,0.0
R050,1.0,1.0
R249,1.0,1.0
R093,1.0,1.0
R131,1.0,1.0
F107,0.0,0.0
F153,0.0,0.0
F091,0.0,0.0
R246,1.0,1.0
F004,0.0,0.0
F220,0.0,0.0
F121,0.0,0.0
F245,0.0,0.0
R035,1.0,1.0
R024,1.0,1.0
F079,0.0,0.0
R094,1.0,1.0
R040,1.0,1.0
F170,0.0,0.0
F130,0.0,0.0
R085,1.0,1.0
R054,1.0,1.0
R047,1.0,1.0
R199,1.0,1.0
F062,0.0,0.0
R244,1.0,1.0
R107,1.0,1.0
F148,0.0,0.0
F023,0.0,0.0
R075,1.0,1.0
R220,1.0,1.0
R099,1.0,1.0
F066,0.0,0.0
F060,0.0,0.0
F022,0.0,0.0
F127,0.0,0.0
R212,1.0,1.0
F119,0.0,0.0
F103,0.0,0.0
F191,0.0,0.0
F002,0.0,0.0
R155,1.0,1.0
R006,1.0,1.0
F086,0.0,0.0
R168,1.0,1.0
R077,1.0,1.0
F209,0.0,0.0
R236,1.0,1.0
F186,0.0,0.0
R243,1.0,1.0
F094,0.0,0.0
R032,1.0,1.0
R033,1.0,1.0
R045,1.0,1.0
R116,1.0,1.0
F056,0.0,0.0
R043,1.0,1.0
R145,1.0,1.0
F200,0.0,0.0
F034,0.0,0.0
F149,0.0,0.0
F051,0.0,0.0
F089,0.0,0.0
F135,0.0,0.0
F088,0.0,0.0
R010,1.0,1.0
R211,1.0,1.0
F204,0.0,0.0
F168,0.0,0.0
R011,1.0,1.0
R232,1.0,1.0
R042,1.0,1.0
F182,0.0,0.0
F036,0.0,0.0
F068,0.0,0.0
R015,1.0,1.0
R147,1.0,1.0
F198,0.0,0.0
R081,1.0,1.0
F050,0.0,0.0
F162,0.0,0.0
R028,1.0,1.0
R195,1.0,1.0
F116,0.0,0.0
R018,1.0,1.0
F073,0.0,0.0
F059,0.0,0.0
R078,1.0,1.0
F216,0.0,0.0
F206,0.0,0.0
R036,1.0,1.0
F104,0.0,0.0
F000,0.0,0.0
R136,1.0,1.0
F019,0.0,0.0
R012,1.0,1.0
R052,1.0,1.0
R123,1.0,1.0
F040,0.0,0.0
R160,1.0,1.0
F067,0.0,0.0
R069,1.0,1.0
F160,0.0,0.0
F053,0.0,0.0
R074,1.0,1.0
R007,1.0,1.0
R119,1.0,1.0
R087,1.0,1.0
F145,0.0,0.0
R065,1.0,1.0
R208,1.0,1.0
R048,1.0,1.0
F076,0.0,0.0
R019,1.0,1.0
F115,0.0,0.0
R031,1.0,1.0
R190,1.0,1.0
F057,0.0,0.0
F158,0.0,0.0
F234,0.0,0.0
F155,0.0,0.0
F106,0.0,0.0
R051,1.0,1.0
R203,1.0,1.0
F063,0.0,0.0
R080,1.0,1.0
R226,1.0,1.0
F144,0.0,0.0
F241,0.0,0.0
R150,1.0,1.0
R153,1.0,1.0
F175,0.0,0.0
F161,0.0,0.0
F147,0.0,0.0
F018,0.0,0.0
F211,0.0,0.0
R117,1.0,1.0
F016,0.0,0.0
F029,0.0,0.0
F205,0.0,0.0
R112,1.0,1.0
F218,0.0,0.0
R187,1.0,1.0
F087,0.0,0.0
R171,1.0,1.0
R113,1.0,1.0
R222,1.0,1.0
F233,0.0,0.0
R223,1.0,1.0
F224,0.0,0.0
R181,1.0,1.0
R056,1.0,1.0
R110,1.0,1.0
R219,1.0,1.0
R224,1.0,1.0
F178,0.0,0.0
F074,0.0,0.0
R034,1.0,1.0
R095,1.0,1.0
F011,0.0,0.0
R162,1.0,1.0
R218,1.0,1.0
F136,0.0,0.0
R108,1.0,1.0
R186,1.0,1.0
R248,1.0,1.0
F045,0.0,0.0
F092,0.0,0.0
R100,1.0,1.0
F075,0.0,0.0
R059,1.0,1.0
F213,0.0,0.0
R233,1.0,1.0
F072,0.0,0.0
R184,1.0,1.0
F134,0.0,0.0
R096,1.0,1.0
R020,1.0,1.0
R067,1.0,1.0
R215,1.0,1.0
R127,1.0,1.0
R235,1.0,1.0
R163,1.0,1.0
R002,1.0,1.0
R021,1.0,1.0
R013,1.0,1.0
F195,0.0,0.0
R101,1.0,1.0
R055,1.0,1.0
F190,0.0,0.0
R004,1.0,1.0
F080,0.0,0.0
F049,0.0,0.0
F184,0.0,0.0
F030,0.0,0.0
R213,1.0,1.0
F128,0.0,0.0
R231,1.0,1.0
R061,1.0,1.0
R137,1.0,1.0
R185,1.0,1.0
R204,1.0,1.0
F217,0.0,0.0
F176,0.0,0.0
R245,1.0,1.0
R104,1.0,1.0
F156,0.0,0.0
R194,1.0,1.0
R161,1.0,1.0
F113,0.0,0.0
F150,0.0,0.0
F047,0.0,0.0
F008,0.0,0.0
F229,0.0,0.0
R001,1.0,1.0
R241,1.0,1.0
R198,1.0,1.0
R229,1.0,1.0
R205,1.0,1.0
F123,0.0,0.0
F043,0.0,0.0
F097,0.0,0.0
R014,1.0,1.0
F005,0.0,0.0
R234,1.0,1.0
F143,0.0,0.0
R073,1.0,1.0
R239,1.0,1.0
F181,0.0,0.0
R138,1.0,1.0
R172,1.0,1.0
R143,1.0,1.0
F166,0.0,0.0
R003,1.0,1.0
R167,1.0,1.0
R183,1.0,1.0
R238,1.0,1.0
R041,1.0,1.0
